Deutsch;Englisch
ganz;whole
kaputt;broken
schnell;fast
langsam;slow
lang;long
direkt;directly
zentral;central
selbstständig;independently
sicher;sure
weit;far
inklusive;inclusive
Das ist verboten.;that is forbidden.
Es ist nich erlaubt hier zu parken.;It is not allowed to park here.
Ich bin die ganze Strecke mit dem Zug gefahren.;I drove the whole route by train.
Das Auto war schon vor dem Unfall kaputt.;The car was already broken before the accident.
Mit dem Auto ist man schneller als mit dem Fahrrad.;You are faster with the train than with the bike.
Mit dem Fahrrad dauert es zu lange.;With the bike it takes too much time.
Wir haben eine lange Reise vor uns.;We have a long journey ahead of us.
Ich möchte bitte eine direkte Verbindung.;I would like to have a direct connection.
Wir wohnen zentral in der Stadt.;We live centrally in the city.
Ich komme selbstständig zurück.;I come back independently.
Manche Verkehrsmittel sind nicht sicher genug.;Some means of transportation are not safe enough.
Wie weit ist es zum Bahnhof?;How far is the train station?
Ist in diesem Preis alles inklusive?;Is this price all inclusive?
Er hat den Fahrplan nicht dabei.;He doesn't have the driving schedule with him.
Die Fahrkarten bitte.;Tickets please.
Du kannst die Fahrkarte am Automaten bezahlen.;You can pay the ticket at the machine.
Wann ist unsere Ankunft?;When is our arrival?
Auf welchem Gleis kommt der Zug an?;On which track does the train arrive?
Die Abfahrt ist um acht Uhr morgens.;The departure is eight o`clock in the morning.
Ich wünsche Ihnen eine schöne Reise.;I wish you a nice journey.
Ein Ticket nach Lissabon kostet zweihundert Euro.;A ticket to Lissabon costs two hundred euros.
Ich fahre nicht die ganze Strecke.;I dont drive the whole track.
Diese Information habe ich leider nicht.;Unfortunately I dont have this information.
Die Ansage sagt der Zug kommt zehn Minuten später.;The announcement says the train will come ten minutes later.
Das ist keine gute Verbindung.;That is not a good connection.
Gehen sie dahinten links bitte.;Please go to the left back there.
Sie müssen jetzt nach rechts fahren.;Now you have to drive to the right.
Gehen sie immer geradeaus bis zur Kirche dann links.;Go straight to the church than left.
Das Taxi steht vor dem Bahnhof.;The taxi stand before the train station.
Ich komme heute nicht mehr zurück.;I dont come back today.
Hier ist es schön.;It is nice here.
Wir sind schon durch Berlin gefahren.;We have driven through Berlin.
In zwei Minuten geht es los.;it starts in two minutes.
Du möchtest weg von hier.;You want to get away from here.
Dahinten ist nichts mehr.;Back there is nothing anymore.
Davorne ist das gute Restaurant.;Over there is a good restaurant.
Das Taxi kommt nun doch nicht.;The taxi is not coming after all.
Wegen eines Unfalls können sie hier nicht weiter fahren.;Due to an accident you can not continue to drive here.
Wir sind jetzt zwischen Dresden und Leipzig.;We are now between Dresden and Leipzig.
Ihr Bahnsteig ist dort.;You track is there.
Ich möchte meine Reise selbst organisieren.;I want to organize my voyage by myself.
Fahren sie heute noch weiter?;Do you drive further today?
Wann fahrt ihr wieder zurück?;When are you driving back again?
Wir fahren morgens hin und abends zurück.;We go there in the morning and return in the evening.
Zurzeit fahren keine Busse nach Dresden.;At the moment no buses drive to Dresden.
Ich möchte bitte ein Einzelzimmer.;I want a private room please.
Er braucht ein Doppelzimmer für sich und seine Frau.;He needs a Room for two for himself and his wife.
Wir haben genug Platz im Koffer.;We have enough space in our luggage.
Der Abflug ist um zwölf Uhr mittags.;Departure is at twelve o`clock (noon).
Bei der Ankunft melden sie sich bitte an der Rezeption.;Upon arrival please report to the reception.
Wer trägt das Gepäck?;Who carries the luggage?
Sie hat viel Kleidung in ihrem Koffer.;She has a lot of clothes in her suitcase.
Der Ausweis ist in meiner Tasche.;The identity card is in my bag.
Für die Flasche Wein muss ich drei Euro beim Zoll bezahlen.;For the bottle of vine I have to pay three euros at the customs duty.
Achtung auf der Autobahn ist ein Unfall.;Attention there is an accident on the highway.
Ich brauche Hilfe mit dem Formular.;I need help with the form.
In welcher Region möchten wir Urlaub machen?;In which region do we want to spend our holidays?
Wir haben zwei Übernachtungen gebucht.;We booked two overnight stays.
Den Weg zum Bahnhof findet man sehr leicht.;The way to the train station is very easy to find.
In der Fußgängerzone dürfen keine Autos fahren.;In the pedestrian zone cars are not allowed to drive.
Haben sie eine Reservierung?;Do you have a reservation?
Heute machen wir einen Ausflug in die Stadt.;Today we make a trip into the city.
Ich gehe zur Auskunft und hole mir eine Verbindung.;I go to the information and get a connection.
Können sie mir einen Hinweis geben?;Can you give me a hint please?
Sie müssen mit der Linie zwölf bis zur Haltestelle Goethestraße fahren.;You have to take line eight until the stop Goethestraße.
Ich bin in der Nähe vom Bahnhof.;I am near the train station.
In welche Richtung muss ich laufen?;In which direction do i have to run?
Er hat keine Kontrolle mehr über das Auto.;He has no control over the car anymore.
Darf ich mit meinem Busticket noch in dieser Zone fahren?;Am I allowed to drive in this zone with my bus ticket?
Achtung jetzt kommt eine Durchsage.;Attention there is an announcement.
Du musst eine extra Gebühr für dein Gepäck bezahlen.;You have to pay an extra fee for your luggage.
Damit müssen sie zur Rezeption gehen.;You have to go to the reception with that.
Bei meiner Rückkehr möchte ich etwas trinken.;Upon my return I want to drink something.
In meinem Rucksack ist kein Platz mehr.;There is no space anymore in my backpack.
Da ist Sand in meinen Schuhen.;There is sand in my shoes.
Das Reisebüro hat mir die Flugtickets für zweihundert Euro verkauft.;The travel agency sold me the flight tickets for two hundred euros.
Der Reiseführer sagt wir müssen in diese Richtung.;The travel guide says we have to go this direction.
Der Tourist sucht die Information.;The tourist is looking for the Information.
Wir machen Urlaub.;We are making holidays.
Ich habe eine Beschwerde.;I have a complaint.
Mein Auto ist sehr teuer.;My car is very expensive.
Der Radfahrer hat große Schmerzen nach dem Unfall.;The biker has great pain after the accident.
Ihr Fahrrad ist kaputt.;Her bike is broken.
Der LKW kann hier nicht parken.;The truck can not park here.
Wann kommt das Taxi endlich?;When does the taxi finally arrive?
Den Bus nehme ich nicht.;I dont take the bus.
Möchtet ihr mit der S-Bahn zum Flughafen fahren?;You want to go with the S-Bahn to the airport?
Ich fahre nicht gerne mit der U-Bahn.;I dont like to drive with the Underground.
Haben sie eine Fahrkarte für die Straßenbahn?;Do you have a ticket for the tram.
Der Zug fährt nur bis Dresden.;The train drives only until Dresden.
Das Flugzeug fliegt heute nicht mehr.;The airplane doesnt fly today anymore.
Mit dem Schiff ist es eine lange Reise.;Its a long journey by ship.
Welches Verkehrsmittel sollen wir nehmen?;Which means of transportation should we take?
In dieser Stadt gibt es keine U-Bahn.;There is no underground in this city.
In jedem Dorf steht eine Kirche.;There is a church in every village.
Sie geht jeden Tag in die Kirche.;She goes to church every day.
Dieses Hotel ist nicht sehr schön.;This hotel is not very nice.
An welcher Haltestelle muss ich aussteigen?;At which station do I have to exit?
Auf dem Bahnhof stehen viele Kinder.;Many children stand at the train station.
Auf welchem Bahnsteig fährt der Zug nach Dresden ab?;On which track does the train to Dresden depart
Wir müssen heute zum Flughafen.;We have to go to the airport today.
Wo finde ich den Hafen?;Where do I find the port?
Am Strand ist viel Sand.;There is a lot of sand on the beach.
In der Stadtmitte sind viele Hotels.;In the middle of the city there are many hotels.
Hast du einen Stadtplan dabei?;Have you a city guide with you?
In welchem Stadtteil wohnst du?;In which district do you live?
Alle Busse fahren in das Stadtzentrum.;All the busses go to the city centre.
Wir müssen fünf Stationen fahren.;We have to drive five stations.
An dieser Stelle hat vor fünf Jahren das Hotel gestanden.;There was a hotel at this place five years ago.
Mit diesem Formular müssen sie jetzt ins Rathaus gehen.;With this form you have to go to the town hall.
Endlich ein Parkplatz für unser Auto.;Finally a parking space for our car.
Wir wollen nicht ins Zentrum dort ist zu viel Verkehr.;We dont want into the centre there is too much traffic.
Berlin ist die Hauptstadt von Deutschland.;Berlin is the capital of Germany.
Bautzen ist keine Großstadt.;Bautzen is not a big city.
An der Küste gibt es viele Hotels.;There are many hotels on the coast.
Fährst du mit dem Auto?;You drive by car.
Das Kind steigt in das Auto ein.;The child enters the car.
Sie müssen hier aussteigen.;You have to exit here.
Ich reise schon zwei Monate.;I travel already two month.
Das Flugzeug fliegt nach New York,;The airplane flies to New York.
Er geht zum Supermarkt.;He goes to the supermarket.
Die Frauen laufen zum Bahnhof.;The women walk to the train station.
Ich hole ein Brot vom Bäcker.;I get a bread from the bakery.
Bringst du dein Fahrrad mit?;You bring your bike with you.
Wir bleiben noch eine Woche.;We stay one more week.
Der Mann trifft seine Frau am Bahnhof.;The man meets his wife at the train station.
Entschuldigung ich suche den Bahnhof.;Sorry I search the train station.
Wo finde ich das Hotel?;Where do I find the hotel?
Können sie mir bitte ihren Ausweis zeigen.;Can you please show me your identity card.
Die Frau verabschiedet sich von ihrem Kind.;The woman says goodbye to her child.
Können sie mich mit einem Taxi verbinden?;Can you connect me to a taxi.
Die Strecke führt an der Kirche vorbei.;The route leads past the church.
Kommst du mit?;Do you come with me?
Sie müssen in Dresden umsteigen.;You have to change trains in Dresden.
Bringen sie bitte ihre Fahrkarte mit.;Please bring your ticket with you.
Ich plane eine Reise nach Berlin.;I plan a voyage to Berlin.
Die Autos hupen an der Ampel.;The cars honk at the traffic lights.
Du musst deine Reise organisieren.;You have to organize your voyage.
Der Mann verreist für zwei Wochen.;The man travels for two weeks.
Wann kommen wir in Hannover an?;When do we arrive in Hannover.
Ich möchte jetzt meinen Koffer auspacken.;I would now like to unpack my suitcase.
Hast du dich über die Verbindung informiert?;Did you inform yourself about the connection.
Wir packen unsere Koffer.;We pack our suitcase.
Das Auto parkt vor dem Hotel.;The car parks in front of the hotel.
Wir wollen heute abfahren.;We want to depart today.
Da gehe ich nicht hin.;I dont go there.
Die Frau schickt ihr Kind zum Supermarkt.;The woman sends her child to the supermarket.
Der Mann und die Frau trennen sich am Bahnhof.;The man and his wife seperate at the train station.
Er kommt nie wieder.;He is never coming back.
Wir fahren heute zurück.;We drive back today.
Ich buche morgen meinen Urlaub im Reisebüro.;Tomorrow I book my vacation in the travel agency.
Sie möchte ihren Mann wiedersehen.;She want to see her man again.
Reservieren sie bitte ein Einzelzimmer.;please reserve a private room.
Das Ticket gilt heute nicht.;the ticket is not valid today.
Wir möchten bei dir mitfahren.;We want to drive with you.
Heute ist viel Verkehr.;There is a lot of traffic today.
Das Schild sagt hier darf man nicht parken.;The sign says you can not park here.
Die Ampel steht auf rot.;The traffic light shows red.
Die Ampel ist grün und ich fahre über die Kreuzung.;The traffic light shows green and I drive over the crossing.
Der Radfahrer fährt auf der Straße.;The biker drives on the street.
Auf der Autobahn fährt man schneller.;On the highway you drive faster.
Sie müssen über die Brücke gehen.;You have to go over the bridge.
Wir fahren jetzt durch einen Tunnel.;We drive through a tunnel.
Wir warten an der Tankstelle.;We wait on the gas station.
Auf der Autobahn war ein Unfall.;There was an accident on the highway.
Ich habe leider keinen Führerschein.;Unfortunately I dont have a drivers license.
Ich hatte eine lange Fahrt.;I had a long drive.
die Toilette;the toilet
das Toilettenpapier;the toilet paper
die Möbel;the furniture
das Bett;the bed
der Schrank;the closet
das Regal;the shelf
der Tisch;the table
der Stuhl;the chair
die Bank;the bank
der Sessel;the armchair
das Sofa;the couch
die Lampe;the lamp
der Teppich;the carpet
das Bild;the picture
der Schlüssel;the key
die Spülmaschine;the dishwasher
der Kühlschrank;the fridge
das Foto;the photo
der Kasten;the box
die Kerze;the candle
die Wäsche;the laundry
ausziehen;to move out
einziehen;to move in
messen;to measure
anmachen;to turn on
ausmachen;to turn off
aufmachen;to open
zumachen;to close
drücken;to push
halten;to hold
hängen;to hang
klopfen;to knock
legen;to put
liegen;to lie down
putzen;to clean
reparieren;to repair
stellen;to put
schieben;to push
ziehen;to pull
verlieren;to lose
fehlen;to miss
funktionieren;to function
fallen;to fall
ordnen;to arrange
steigen;to rise
abwaschen;to clean the dishes
klingeln;to ring
vermieten;to rent
wegbringen;to bring away
verschieben;to postpone
abschließen;to lock
benutzen;to use
reinigen;to clean
mieten;to rent
wechseln;to switch
sparen;to save
trocknen;to dry
wohnen;to live in
waschen;to wash
renovieren;to renovate
die Breite;the width
die Höhe;the height
die Tiefe;the depth
die Länge;the length
der Zentimeter;centimeter
der Meter;meter
der Qudratmeter;square meter
der Kilometer;kilometer
das Gewicht;the weight
das Gramm;one gramm
das Pfund;a pound
das Kilogramm;a kilogramm
Grad Celsius;one degree
der Milliliter;one mililitre
der Liter;one litre
ein halber Liter;half a liter
das Maß;the measure
die Platte;the plate
die Ordnung;the tidiness
die Unordnung;the mess
der Strom;the current
der Nachbar/ die Nachbarin;the neighbour
der Gegenstand;the thing
der Vermieter/ die Vermieterin;the landlord
das Girokonto;the checking account
das Konto;the account
die Mauer;the wall
der Lärm;the noise
die Ruhe;the silence
das Lager;the stock
der Makler/ die Maklerin;the broker
das Wasser;the water
die Sparkasse;the savings bank
die Garage;the garage
das Haus;the house
das Dach;the roof
der Dachboden;the attic
das Fenster;the window
der Balkon;the balcony
die Tür;the door
der Garten;the garden
das Erdgeschoss;groundfloor
der Keller;the basement
die Wohnung;the apartement
der Umzug;the move
der Eingang;the entry
der Ausgang;the exit
das Zimmer;the room
das Schlafzimmer;the sleeping room
das Wohnzimmer;the living room
das Bad;the bath
die Dusche;the shower
der Haushalt;the household
der Flur;the floor
der Gang;the corridor
die Heizung;the heater
der Hof;the courtyard
der Herd;the cooker
der Backofen;the stove
die Küche;the kitchen
der Aufzug;the elevator
das Schloss;the lock
die Treppe;the stairs
die Tonne;the ton
die Ecke;the corner
der Tagesablauf;the daily routine
die Technik;the technique
die Miete;the rent
der Müll;the waste
die Nebenkosten;the additional costs
an;on
auf;onto
neben;next to
über;above
unter;under
in;in
aus;out
durch;through
gegen;against
zwischen;between
um;around
vor;before
nach;after
mit;with
ohne;without
für;for
von;from
oben;up
unten;down
vorn;front
hinten;back
draußen;outside
drinnen;inside
darüber;above
dazu;to that
vorne;up front
so;so
breit;wide
schmal;narrow
leicht;light
schwer;heavy
hell;bright
dunkel;dark
leise;quiet
laut;loud
hoch;high
niedrig;low
gerade;straight
krumm;not straight
gebraucht;used
kühl;cool
praktisch;practical
die Sache;the thing
fertig;ready
rund;round
bequem;comfortable
hart;hard
trocken;dry
ruhig;silent
sauber;clean
Ich kann die Toilette nicht finden.;I can not find the toilet.
Wir haben kein Toilettenpapier mehr.;We have no toilet paper anymore.
Wir müssen alle Möbel in die andere Ecke schieben.;We have to push all the furniture into the other corner.
Ihr Bett ist sehr bequem.;Your bed is very comfortable.
Den Schrank solltest du nicht öffnen.;You should not open the closet.
Stell die Tasse einfach in das Regal.;Just put the cup into the shelf.
Kannst du bitte am Tisch essen.;Can you eat at the table please.
Sitz bitte ruhig auf deinem Stuhl.;Please sitz quiet on your chair.
Der Mann und die Frau sitzen auf der Bank.;The man and the woman are sitting on the bench.
Wer möchte jetzt im Sessel sitzen?;Who wants to sit in the armchair?
Auf dem Sofa kann man schlafen.;You can sleep on the couch.
Macht ihr bitte die Lampe an?;Can you turn on the lamp please.
Der Teppich war gestern noch sauber.;The carpet was clean yesterday.
Auf dem Bild ist eine Frau in ihrem Garten.;There is a woman in her garden on the picture.
Der Schlüssel passt nicht in das Schloss.;The key doesnt fit into the lock.
Warum hast du die Spülmaschine nicht angemacht?;Why did you not turn on the dish washer.
Stell die Milch bitte in den Kühlschrank.;Put the milk into the fridge please.
Auf dem Foto sind viele Kinder.;There are many children on the photograph.
Was ist in dem Kasten?;What is in the box?
Kannst du bitte eine Kerze anmachen es ist zu dunkel.;Can you light a candle please it is too dark.
Wann ist die Wäsche fertig?;When is the laundry finished?
Der Schrank ist zu breit für den Flur.;The closet is too broad for the corridor.
Wir müssen das Bett durch den schmalen Gang tragen.;We have to carry the bed through the narrow corridor.
Die Lampe ist leicht zu tragen.;The lamp is easy to carry.
Die Tür geht schwer aufzumachen.;The door is difficult to open.
Unser Wohnzimmer ist schön hell.;Our living room is nicely bright.
Am Abend ist es dunkel im Hof.;In the evening its dark in the courtyard.
Wir müssen leise sein.;We have to be silent.
Das Kind war gestern Abend sehr laut.;The child was very loud yesterday evening.
Der Schrank ist zu hoch für mich kannst du mir bitte helfen?;The closet is too high for me can you help me please?
Ich möchte einen niedrigen Tisch.;I would like to have a low table.
Das Foto soll gerade an der Mauer hängen.;The photograph should hang straight on the Wall.
Warum ist die Banane krumm?;Why is the banana not straight?
Wir müssen unsere Möbel gebraucht kaufen.;We have to buy our furniture used.
Im Kühlschrank ist es kühl.;Its cool in the fridge.
Ein Aufzug ist sehr praktisch.;An elevator is very practical.
Geh bitte nicht an meine Sachen.;Please dont go through my things.
Wir sind endlich fertig mit renovieren.;We are finally finished renovating.
Ihr habt einen runden Tisch gekauft.;You have bought a round table.
Der Sessel ist wirklich bequem.;The armchair is really comfortable.
Das Sofa ist mir zu hart zum schlafen.;The couch is too hard to sleep for me.
Ist die Wäsche schon trocken?;Is the laundry dry already?
Auf dem Balkon ist es schön ruhig.;It is nicely quiet on the balcony.
Die Küche ist nicht sauber.;The kitchen is not clean.
Wir treffen uns am Ausgang.;We meet each other at the exit.
Stell das Glas bitte auf den Tisch.;Put the glass  on the table please.
Wir hängen das Bild neben den Schrank.;We hang the picture next to the closet.
Ich laufe über den Teppich.;I walk over the carpet.
Unter dem Teppich ist leider kein Geld.;Unfortunately there is no money under the carpet.
In der Spülmaschine ist viel Geschirr.;There is a lot of dishes in the dish washer.
Ich hole eine Jacke aus dem Schrank.;I get a jacket from the closet.
Du musst durch den Gang gehen.;You have to go through the corridor.
Das Kind ist gegen die Mauer gelaufen.;The child ran against the wall.
Sie wählt zwischen den beiden Bildern aus.;She is choosing between the two pictures.
Läufst du um das Haus?;Are you running around the house?
Ich warte vor dem Eingang.;I wait before the entrance.
Die Frau geht nach dem Mann.;the woman walks behind the man.
Der Mann kommt mit seinem Kind.;The man is coming with his child.
Die Frau kommt ohne ihren Mann.;The woman is coming without her man.
Das Geld ist nicht für dich.;The money is not for you.
Das Geld ist von meiner Frau.;The money is from my wife.
Wir wohnen ganz oben.;We live way up.
Geh bitte nach unten.;Please go down.
Von vorn sieht das Haus schön aus.;From the front the house looks nice.
Da hinten ist nichts mehr.;Behind there there is nothing anymore.
Wir gehen jetzt nach draußen.;We go outside now.
Warum bist du noch drinnen?;Why are you inside yet?
Kannst du den Schrank bitte darüber stellen?;Can you put the closet there please?
Gib noch ein bisschen Salz dazu.;Add a little bit of salt please.
Da vorne gibt es noch ein Hotel.;There is yet one hotel.
So viel Geld für so wenig Essen.;So much money for so little food.
Der Mann stellt sein Auto in die Garage.;The man puts his car into the garage.
Wir wohnen zur miete in unserem Haus.;We just live for rent in our house.
Das Dach ist kaputt und muss repariert werden.;The roof is broken and has to be repaired.
Stell das Bild bitte auf den Dachboden.;Put the picture on the attic please.
Kannst du bitte das Fenster öffnen.;Can you open the window please.
Die Frau Steht auf dem Balkon.;The woman is standing on the balcony.
Hinter dieser Tür ist die Toilette.;Behind this door is the toilet.
Das Haus hat einen schönen Garten.;The house has a beautiful garden.
Ich wohne im Erdgeschoss und muss keine Treppe laufen.;I live in the ground floor and dont have to walk the stairs.
Kannst du heute bitte den Keller reinigen.;can you clean the basement please.
Wir ziehen in eine neue Wohnung.;We move into a new apartment.
Den Umzug machen wir ohne Hilfe.;We do the move without help.
Dort vorne ist der Eingang.;The entrance is there.
Entschuldigung ich kann den Ausgang nicht finden.;Excuse I can not find the exit.
In seinem Zimmer steht nur ein Bett und ein Schrank.;There is only a bed and a closet in his room.
Das Bett steht im Schlafzimmer.;The bed is standing in the sleeping room.
Stellen sie das Sofa bitte in das Wohnzimmer.;Put the couch into the living room please.
Im Bad putze ich meine Zähne.;I brush my teeth in the bathroom.
Gehst du jetzt unter die Dusche?;Are you going under the shower now?
Die Frau führt den Haushalt.;The woman is in charge of the household.
Durch diese Tür kommen sie in den Flur.;Through this door you come into the floor.
Ich wohne ganz hinten im Gang.;I live in the back of the corridor.
Können sie bitte die Heizung anmachen?;Can you turn on the heating please.
Das Haus hat einen schönen Hof.;The house has a nice courtyard.
Den Herd habe ich gebraucht gekauft.;I bought the cooker used.
Der Backofen ist nicht kaputt.;The stove is not broken.
Ich gehe in die Küche und mache etwas zu essen.;I go into the kitchen and make something to eat.
Ich wohne im Erdgeschoss und brauche keinen Aufzug.;I live in the ground floor and dont need an elevator.
Können sie bitte das Schloss zumachen.;Can you close the lock please.
Ich muss den ganzen Tag Treppen laufen.;I have to walk stairs all day long.
Können sie die Tonne dorthin stellen bitte.;Can you put the ton there please.
Ich gehe um die Ecke.;I go around the corner.
Ich habe jeden Tag den gleichen Tagesablauf.;Every day I have the same routine.
Die Technik im Haus funktioniert noch nicht.;The technique in the house is not working.
Meine Miete ist viel zu hoch.;My rent is way too high.
Wer bringt den Müll weg?;Who brings out the waste?
Ich kann die Nebenkosten nicht mehr bezahlen.;I can not pay the additional costs anymore.
Passt der Schrank in der Breite?;Does the closet fit in width?
Wir müssen noch die Höhe messen.;We have to measure the height yet.
Kannst du bitte die Tiefe des Schranks messen?;Can you measure the depth of the closet please?
In der Länge passt der Kühlschrank nicht in das Auto.;The fridge doesnt fit into the car in length.
Bitte auf den Zentimeter genau messen.;Please measure exactly by the centimeter.
Der Schrank ist zwei Meter hoch.;The closet is two meters high.
Wie viele Quadratmeter hat die Wohnung?;How many square meters does the aparment have?
Wieviele Kilometer sind es bis Dresden?;How many Kilometers is Dresden away?
Das Gewicht ist zu hoch für den Aufzug.;The weight is too high for the elevator.
Zweihundert Gramm Fleisch bitte.;Two hundred gramms of meat please.
Ich nehme ein Pfund Tomaten.;I take one pound of tomatoes.
Können sie mir bitte zwei Kilogramm Äpfel in meine Tüte geben?;Can you give me two kilogramms of apples in a bag please.
Wasser kocht bei einhundert Grad Celsius.;water boils at a hundred degrees.
Das müssen wir in Mililiter messen.;We have to measure this in mililiter.
Er hat einen Liter Bier getrunken.;He has drunken one liter of beer.
Ein halber Liter Wein ist zu viel für mich.;Half a liter of vine is too much for me.
Wir brauchen noch die Maße der Wohnung.;We still need the measures of the apartment.
Die Flasche kannst du auf die Platte stellen.;You can put the bottle on the plate.
Wir müssen hier mal Ordnung machen.;We have to tidy up here.
Deine Unordnung ist wirklich schlimm.;Your messiness is really terrible.
Wieviel bezahlen sie für ihren Strom?;How much do you pay for your electricity?
Unser Nachbar ist wirklich sehr freundlich.;Our neighbour is really very friendly.
Was ist das für ein Gegenstand?;What kind of thing is this?
Der Vermieter ist möchte mehr Geld haben.;The landlord wants to have more money.
Auf meinem Girokonto ist kein Geld mehr.;There is no money on my checking account anymore.
Unser Konto ist im Minus.;Our account is in the minus area.
Das Kind steht auf der Mauer.;The child is standing on the wall.
Der Lärm von den Autos ist schlecht für die Gesundheit.;The noise of the cars is bad for health.
Ich brauche endlich ein bisschen Ruhe.;i finally need some quiet.
Bring die Sachen bitte in das Lager.;Put the things into the stock.
Der Makler hat eine Wohnung für uns gefunden.;The broker found an apartment for us.
Das Kind soll viel Wasser trinken.;The child shall drink a lot of water.
Ich gehe gerne zur Sparkasse.;I like to go to the sparkasse (bank name)
Wir möchten nächste Woche aus unserer Wohnung ausziehen.;Next week we want to move out of our appartment.
Wann werden sie einziehen?;When will you move in?
Wir messen die Breite des Schrankes.;We measure the width of the closed.
Nachts machen wir das Licht an.;We turn on the light in the night.
Wenn es hell ist machen wir das Licht wieder aus.;When it is bright we turn off the lights.
Können sie mir bitte die Tür aufmachen.;Can you open the door for me please.
Das Kind hat die Tür nicht zugemacht.;The child did not close the door.
Der Mann drückt gegen die Mauer aber nichts passiert.;The man pushes against the wall but nothing happens.
Die Frau hält ihr Kind im Arm.;The woman holds her child in her arm.
Wo hängt das Bild?;Where is the picture hanging?
Klopfen sie mal gegen die Tür.;Just knock against the door.
Leg das Messer hier hin.;Put the knife down.
Auf dem Tisch liegen einhundert Euro.;A hundred Euros lie on the table.
Das Kind kann sich ohne Hilfe die Zähne putzen.;The child can brush its teeth without help.
Wir müssen das Auto reparieren.;We have to repair the car.
Den Tisch kannst du da vorne hinstellen.;You can put the table there.
Hilfst du mir den Tisch in die Ecke zu schieben?;Can you help me pushing the table into the corner.
Wir ziehen den Teppich ein bisschen nach links.;We pull the carpet a little bit to the left.
Der Kellner hat seinen Geldbeutel verloren.;The waitor lost hist wallet.
Es fehlen noch zwei Stühle.;Two chairs are missing.
Das Auto funktioniert nicht mehr.;The car doesnt work anymore.
Dir sind zwei Euro aus der Tasche gefallen.;Two euros were falling out of you bag.
Wir müssen die Wäsche nach schwarzer und weißer Kleidung ordnen.;We have to divide the laundry by black and white clothes.
Treppen steigen mag ich nicht.;I dont like to climb the stairs.
Muss ich schon wieder abwaschen?;Do I have to do the dishes again?
Klingeln sie einfach an der Tür damit er ihnen aufmacht.;Just ring on the door so that he opens it for you.
Wir vermieten diese Wohnung nicht.;We dont rent this flat.
Er bringt jeden Morgen den Müll weg.;He brings away the thrash every morning.
ich möchte das Sofa gerne verschieben.;I would like to move the couch.
Kann man die Toilette abschließen?;Is it possible to close the toilet.
Der Stuhl ist kaputt bitte benutzen sie einen anderen.;The chair is broken please use another one.
Jetzt müssen wir den Teppich reinigen.;We have to clean the carpet now.
Wir mieten diese Wohnung.;We rent this flat.
Kann dein Mann bitte das Toilettenpapier wechseln;Can your husband change the toilet paper please.
Duschen ist besser als baden weil man Wasser spart.;Showering is better that to bathe because you save water.
Die Wäsche braucht Stunden um zu trocknen.;The laundry needs hours to dry.
Wer wohnt denn hier?;Wo lives here?
Kannst du bitte meine Wäsche mit waschen?;Can you also wash my laundry.
Wie lange werden wir zum renovieren brauchen?;How low will we take to renovate?
loslassen;to let go
kennen;to know
erkennen;to recognize
erzählen;to tell
reden;to talk
küssen;to kiss
aussehen;to look like
erziehen;to educate
geboren sein;to be born
leben;to live
erlauben;to allow
klappen;to work out fine
rufen;to shout for
betreuen;to look after
die Familie;the family
die Großeltern;the grandparents
der Großvater;the grandfather
die Großmutter;the grandmother
die Eltern;the parents
der Vater;the father
die Mutter;the mother
der Sohn;the son
die Tochter;the daughter
der Papa;the dad
die Mama;the mum
die Geschwister;the siblings
der Bruder;the brother
die Schwester;the sister
die Tante;the aunt
der Onkel;the uncle
der Cousin;the cousin
die Cousine;the female cousin
das Ehepaar;the married couple
der Mann;the mann
die Frau;the woman
der Freund;the friend
die Freundin;the female friend
der Partner;the partner
die Partnerin;the female partner
die Leute;the people
der Herr;the mister
das Baby;the baby
der Erwachsene/ die Erwachsene;the adult
der Jugendliche/ die Jugendliche;the teen
das Gespräch;the conversation
der Kinderwagen;the baby carriage
der Kuss;the kiss
die Hochzeit;the marriage
das Leben;the life
der Mensch;the human
die Geschichte;the history
die Gruppe;the group
der Babysitter/ die Babysitterin;the babysitter
der Kontakt;the contact
der Bekannte/ die Bekannte;the acquaintance
die Verwandten;the relatives
der Treffpunkt;the meeting point
jemand;someone
andere;other
sogar;even
jung;young
alt;old
schön;pretty
hässlich;ugly
reich;rich
arm;poor
stark;strong
schwach;weak
allein;alone
zusammen;together
verliebt;to be in love
allein;alone
anders;different
bekannt;known
berühmt;famous
fremd;foreign
schwanger;pregnant
Für mich ist meine Familie sehr wichtig.;My family is very important for me.
Meine Großeltern sind sehr alt.;My grandparents are very old.
Mein Großvater kann nicht mehr laufen.;My grandfather can not run anymore.
Deine Großmutter sieht noch sehr jung aus.;You grandmother looks still very young.
Die Eltern meiner Freundin mögen mich nicht.;The parents of my girlfriend dont like me.
Ich möchte nicht mit deinem Vater reden.;I dont want to talk to your father.
Meine Mutter ist wieder schwanger.;My mother is pregnant again.
Ihr Sohn isst sehr viel.;Her son is eating a lot.
Unsere Tochter fährt mit dem Auto nach Dresden.;Our daughter drives with her car to dresden.
Mein Papa ist der beste.;My dad is the best.
Ich liebe meine Mama.;I love my mother.
Die Geschwister mögen sich nicht.;The sibblings don't like each other.
Ist das dein Bruder?;Is that your brother?
Meine Schwester heißt Monique.;My sister is called monique
Seine Tante ist vierzig Jahre alt.;His aunt is fourty years old.
Mein Onkel ist der Vater meiner Cousine.;My uncle is the father of my cousin.
